d,h,dps,B_h,C,alpha_B_h,terminal_t,activity_ratio,minus_psi_over_exp_minus_C,psi_root,psi_direct,route_relative_disagreement,stationarity_residual,telescoping_residual,compact_residual,source_sha256
3,12,90,12286.0,2.68891585501040013976745,2.68891585501040013976745,1.5649521817236902514912410604,0.43761910441011800655,0.38704929760879828092,-0.0263017693847861766925997,-0.0263017693847861766925997,8.69648997003e-88,8.28042160528e-171,5.58680599144e-250,1.49001860314e-84,dbaf7c1c1c708d059b6ccddf17cf68e0ae055e5d609c488e8e56ffd27e4d1056
3,20,110,3145726.0,6.84510347814699949522998,6.84510347814699949522998,2.59233190755103757476376681408,0.58731966449413053705,0.64837167469537249632,-0.000690292834108247212221875,-0.000690292834108247212221875,2.66900925683e-105,1.14656253968e-538,5.53263399978e-965,1.17925528381e-108,dbaf7c1c1c708d059b6ccddf17cf68e0ae055e5d609c488e8e56ffd27e4d1056
3,30,130,3221225470.0,12.6345230553746044619009,12.6345230553746044619009,4.24843522695731804549429347768,0.95204332641006628599,0.94176771565242100741,-0.00000306789261548327935842162,-0.00000306789261548327935842162,5.64116276476e-123,6.75776572086e-2301,4.05185949322e-4470,1.76048737805e-128,dbaf7c1c1c708d059b6ccddf17cf68e0ae055e5d609c488e8e56ffd27e4d1056
3,40,160,3298534883326.0,18.7408224021000065352103,18.7408224021000065352103,6.25102199356755672760671381765,0.99562972566514808396,0.97573044303281005292,-7.08425360319143688355618e-9,-7.08425360319143688355618e-9,2.42607964143e-149,6.8404849326e-5339,-1.97357088308e-10516,1.14143107304e-157,dbaf7c1c1c708d059b6ccddf17cf68e0ae055e5d609c488e8e56ffd27e4d1056
4,12,100,1062881.0,5.98590477925353559863557,5.98590477925353559863557,3.27430811180715697841994080308,0.68162323087349072876,0.72854684100301358049,-0.00183152168317342646402893,-0.00183152168317342646402893,6.57339657635e-97,5.62858267109e-629,-5.58589608171e-892,4.82863310106e-95,dbaf7c1c1c708d059b6ccddf17cf68e0ae055e5d609c488e8e56ffd27e4d1056
4,20,130,6973568801.0,13.3028752886383745882347,13.3028752886383745882347,6.65792202872351594182004835315,0.99149489768252470055,0.97063642934364656966,-0.00000162065754589300041933,-0.00000162065754589300041933,4.39042055762e-122,1.83300664684e-3752,-4.99348900811e-5145,3.38121775554e-130,dbaf7c1c1c708d059b6ccddf17cf68e0ae055e5d609c488e8e56ffd27e4d1056
4,28,160,45753584909921.0,21.1086850002637408299362,21.1086850002637408299362,10.5544288265371556225644335766,0.99990750838490069309,0.97999453596106802522,-6.66558450055970876728766e-10,-6.66558450055970876728766e-10,1.6950057681e-148,9.00394642419e-9922,2.57879588178e-13675,7.14127931035e-158,dbaf7c1c1c708d059b6ccddf17cf68e0ae055e5d609c488e8e56ffd27e4d1056
